1;143370;174047;160827
2;142055;177478;155475
3;137329;166317;150951
4;134856;161873;145856
5;135549;154828;143051
6;130214;154211;140804
7;130337;156930;138558
8;127302;149544;135238
9;124869;152020;132886
10;123348;146214;131696
11;120080;140713;129119
12;121750;143402;127683
13;119027;135970;125612
14;118506;136855;124212
15;115540;136862;123203
16;112149;134390;120576
17;111755;124415;117762
18;110074;124037;115552
19;106819;126738;114263
20;106398;127223;113658
21;106398;124037;112103
22;105782;119101;110644
23;103019;118624;109411
24;103019;116366;108040
25;101098;118905;107151
26;101098;113465;105931
27;100037;115176;104070
28;97875;108914;102294
29;97323;106699;101011
30;94793;107728;100647
31;94460;106063;99621
32;94303;109970;98471
33;93153;104773;96429
34;91313;102337;95376
35;90838;98667;94606
36;90431;98403;93540
37;88551;97600;92354
38;88551;97683;91607
39;88418;98312;91125
40;86239;96971;90772
41;87672;97141;90214
42;86388;95472;89574
43;85645;95889;88752
44;84876;98059;88252
45;84876;94091;87674
46;84297;93763;86883
47;84297;94033;86414
48;83081;91994;85670
49;82623;91930;85574
50;82623;89622;84702
51;82519;90151;84671
52;82387;90547;84046
53;82047;90459;83577
54;80505;87791;82846
55;80395;90487;82941
56;79886;87909;82107
57;79628;85043;80845
58;79066;85667;80511
59;78401;82736;79984
60;78126;82658;79616
61;77812;84155;79145
62;77345;82558;78692
63;77218;83301;78438
64;77113;82348;78174
65;76630;83512;77936
66;75506;84279;77687
67;75458;81101;77053
68;75458;81323;76658
69;75282;83058;76488
70;74816;81001;75793
71;74773;81091;75905
72;74323;83402;75762
73;73724;81750;75517
74;74312;80500;75333
75;73572;80273;75423
76;73572;81798;75287
77;73088;81676;74994
78;73088;79892;74853
79;71953;79892;74577
80;71953;79368;74126
81;71258;79508;73792
82;71258;80145;73310
83;71258;80712;72448
84;70991;78552;71844
85;70692;77686;71599
86;70398;75741;71408
87;70398;77774;71617
88;70398;76951;71824
89;70398;78471;71570
90;69386;76109;71367
91;69051;76651;70708
92;69051;75534;70665
93;68966;78949;70398
94;67858;75130;69943
95;67287;76076;69677
96;67287;75976;69382
97;66444;76948;68801
98;65980;73908;67684
99;65630;73398;67257
100;65630;71721;66650
101;65251;71677;66303
102;65202;71662;65892
103;65121;71630;65782
104;64918;71401;65633
105;64847;69537;65456
106;64614;70034;65497
107;64595;69150;65225
108;64035;68378;65071
109;63200;67858;64717
110;63200;70017;64632
111;63016;70272;64345
112;62907;70083;64772
113;62455;72465;64367
114;62455;70992;64454
115;62455;71462;64189
116;62048;72672;63933
117;62048;71021;63961
118;62048;71754;64131
119;62048;72426;63646
120;61878;68422;63720
121;61636;70675;63683
122;61636;69531;63296
123;61636;70547;63274
124;60984;68650;62614
125;60984;71843;62724
126;60984;66689;62358
127;60204;69227;62488
128;60141;69461;62351
129;59354;68525;62131
130;60187;70883;61732
131;59239;67821;61124
132;59239;65687;60712
133;56648;67493;60510
134;56648;68113;60167
135;56648;66904;59279
136;56562;65032;57851
137;56516;63386;57182
138;55984;63811;57413
139;55984;62930;57554
140;55776;65605;57614
141;55775;62008;56731
142;54854;59756;56226
143;54854;62554;56269
144;54854;60060;56364
145;54807;60958;56270
146;54487;62535;56033
147;54285;59232;55508
148;54285;61628;55183
149;54279;60895;55074
150;54182;57587;54602
151;53539;59575;54738
152;53018;61598;55009
153;53018;60975;54707
154;52811;58203;53992
155;52811;57139;53606
156;52522;57891;53476
157;52520;58423;53404
158;52446;58196;53241
159;52290;58858;53195
160;52290;58293;52852
161;51572;58521;52677
162;51386;59016;52645
163;50548;54865;52264
164;50112;56118;51914
165;50112;56989;51498
166;49768;56770;51187
167;49768;56750;51085
168;49768;58135;50973
169;49073;60423;51537
170;48869;59491;50500
171;48289;55572;50589
172;48289;57082;50591
173;48289;57447;50530
174;48288;55574;49357
175;48289;53563;49043
176;48289;52019;48494
177;48289;52703;48525
178;48289;54126;48431
179;48095;53012;48564
180;48095;54778;48709
181;48095;52587;48457
182;47396;52650;48803
183;47534;60021;49583
184;47406;55501;49867
185;47284;55841;49637
186;47284;60890;50140
187;47276;61774;49819
188;47188;59291;48520
189;45642;55321;48003
190;45642;55854;47881
191;45392;53797;47595
192;45392;57650;47038
193;45392;51683;45887
194;45231;50052;45852
195;45231;48571;45605
196;45231;51430;45739
197;45231;51415;45863
198;44940;52130;45655
199;44940;52599;45602
200;44763;51412;45444
1;135839;172445;157129
2;138780;168628;151293
3;137877;161625;146656
4;130416;152476;142829
5;126610;154259;140117
6;121247;152459;136966
7;118475;145787;133301
8;120655;145403;129820
9;115945;143725;127178
10;115115;134747;124118
11;110407;133472;121321
12;110350;138812;118443
13;107638;127671;115533
14;104871;124527;114043
15;104110;123487;111652
16;103092;122983;109481
17;103092;116075;107874
18;102770;116638;106998
19;99401;119051;105777
20;99273;111799;105106
21;96627;115659;104197
22;96627;116939;102598
23;96260;113601;101858
24;94931;109558;101351
25;93932;110138;100112
26;89920;108700;99476
27;89920;107808;98101
28;89920;105438;95981
29;88347;110278;95192
30;87867;102629;94233
31;87867;101064;92822
32;83239;99995;92346
33;83239;98467;91315
34;83425;102352;90959
35;84922;97137;90412
36;83239;101701;90161
37;83406;97958;89570
38;83406;97963;89511
39;84083;98121;89691
40;84083;98853;88734
41;81846;99021;88546
42;84739;101782;88795
43;83803;102369;88684
44;82199;98310;88560
45;83345;97305;88321
46;82940;97053;87887
47;79337;101010;87733
48;80511;96542;87035
49;81363;95726;86233
50;80860;95746;85786
51;80907;93873;85832
52;80839;98361;85545
53;80625;95763;85067
54;79415;96982;84460
55;79879;94419;83331
56;79538;93154;82795
57;79292;89719;82327
58;78225;89099;81187
59;76777;88989;80726
60;75802;88454;80818
61;75802;88354;80142
62;75927;89462;79734
63;75323;89912;80080
64;75323;86845;79955
65;74845;89724;79280
66;74304;89841;78865
67;74627;85989;78383
68;73462;91760;78551
69;74410;84662;77889
70;72790;86330;77441
71;72768;86593;77505
72;72768;86798;76687
73;73194;87583;76581
74;71641;87107;76720
75;72575;86626;76562
76;72551;88071;76699
77;72419;86558;76331
78;72166;90854;76321
79;71726;84188;75604
80;72148;82779;74904
81;72106;82001;74020
82;71891;82533;74017
83;71737;79891;73629
84;70638;80537;73551
85;70525;79396;73405
86;70638;81500;73667
87;68962;84467;73662
88;68962;83320;73496
89;67870;78902;73133
90;67264;79417;72817
91;67493;78725;72554
92;67247;79977;72639
93;68638;81550;72328
94;67781;82901;71757
95;67633;78660;70932
96;67259;81072;70462
97;67307;79143;70220
98;66663;78531;69475
99;66867;74728;69204
100;66867;74617;69070
101;66135;82849;68842
102;65864;75509;68454
103;65862;78370;68749
104;65864;75562;68453
105;63615;75108;68560
106;64060;77658;67934
107;64060;76237;67339
108;64060;77711;67580
109;64060;77120;67508
110;63624;72332;67366
111;63673;72739;66870
112;63456;76641;66873
113;63277;73846;66217
114;63277;71059;65902
115;63277;71047;65738
116;63070;71866;65410
117;62228;73374;65150
118;61927;71069;65055
119;61363;73648;64987
120;61356;71700;64593
121;61356;75219;64549
122;61356;72269;63920
123;61071;70025;63877
124;60196;70739;64187
